epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1507,1.30423,4.28803,0.72056,1.56615,1.62107,0.99781,1,0.995,0.82088,0.94973,0.95181,0.94239,0.26929,0.72714,3.76932,0.5541,0.73054,1.05384,0.000655914,0.000655914,0.000655914
2,36.3381,0.63628,2.0644,0.71013,0.53398,1.07337,0.99884,1,0.995,0.70443,0.99884,1,0.995,0.62182,1.29133,1.45596,0.55337,1.11171,2.5117,0.00125711,0.00125711,0.00125711
3,54.1632,0.63429,1.43439,0.68045,0.48492,1.0575,0.99934,1,0.995,0.79761,0.99934,1,0.995,0.22669,0.77216,2.40245,0.52337,0.64202,1.26093,0.00179231,0.00179231,0.00179231
4,72.4525,0.58036,1.05685,0.64564,0.45904,1.02872,0.99936,1,0.995,0.97467,0.99936,1,0.995,0.93852,0.29651,0.33531,0.44078,0.28055,0.73741,0.001703,0.001703,0.001703
5,91.1506,0.47382,0.89389,0.63159,0.40513,0.97547,0.99933,1,0.995,0.96113,0.99933,1,0.995,0.98436,0.40906,0.36697,0.47526,0.31318,0.82343,0.001604,0.001604,0.001604
6,110.739,0.45233,0.81723,0.60255,0.39079,0.95992,0.99932,1,0.995,0.90074,0.99932,1,0.995,0.995,0.33068,0.24399,0.45141,0.31938,0.79064,0.001505,0.001505,0.001505
7,129.287,0.38115,0.60867,0.58705,0.34294,0.92213,0.99796,1,0.995,0.8974,0.99796,1,0.995,0.98186,0.38521,0.19748,0.37005,0.39333,0.82599,0.001406,0.001406,0.001406
8,148.049,0.339,0.52975,0.5408,0.31685,0.917,0.99937,1,0.995,0.97712,0.99937,1,0.995,0.99138,0.28887,0.20752,0.37559,0.25381,0.73635,0.001307,0.001307,0.001307
9,168.191,0.34947,0.4182,0.52953,0.31929,0.90781,0.99934,1,0.995,0.93295,0.99934,1,0.995,0.995,0.38741,0.2123,0.31934,0.37829,0.82662,0.001208,0.001208,0.001208
10,188.494,0.32866,0.3683,0.50703,0.30277,0.91118,0.99936,1,0.995,0.99197,0.99936,1,0.995,0.995,0.28492,0.17361,0.31936,0.28063,0.71012,0.001109,0.001109,0.001109
11,208.28,0.28605,0.20691,0.41614,0.27882,0.91666,0.99935,1,0.995,0.92745,0.99935,1,0.995,0.995,0.36061,0.20698,0.28609,0.33616,0.79496,0.00101,0.00101,0.00101
12,228.272,0.25902,0.15614,0.36802,0.24346,0.88364,0.99936,1,0.995,0.98327,0.99936,1,0.995,0.995,0.4462,0.21011,0.25181,0.44569,0.83078,0.000911,0.000911,0.000911
13,247.772,0.22168,0.16518,0.34825,0.2154,0.86695,0.99937,1,0.995,0.96102,0.99937,1,0.995,0.995,0.30423,0.13268,0.2011,0.2525,0.72742,0.000812,0.000812,0.000812
14,268.046,0.18526,0.10324,0.31001,0.19139,0.84252,0.99936,1,0.995,0.96823,0.99936,1,0.995,0.995,0.31098,0.18351,0.17742,0.19675,0.77055,0.000713,0.000713,0.000713
15,288.401,0.19121,0.10558,0.29878,0.19939,0.83551,0.99936,1,0.995,0.91296,0.99936,1,0.995,0.995,0.41361,0.13822,0.1759,0.18799,0.79876,0.000614,0.000614,0.000614
16,308.316,0.16819,0.08334,0.28455,0.17817,0.83343,0.99937,1,0.995,0.97376,0.99937,1,0.995,0.995,0.35152,0.11668,0.16702,0.19366,0.78003,0.000515,0.000515,0.000515
17,328.907,0.15991,0.07166,0.26604,0.17179,0.83118,0.99936,1,0.995,0.995,0.99936,1,0.995,0.995,0.2577,0.11456,0.14848,0.15105,0.72006,0.000416,0.000416,0.000416
18,350.257,0.15222,0.07203,0.25976,0.1723,0.82196,0.99936,1,0.995,0.99193,0.99936,1,0.995,0.995,0.32368,0.1029,0.15004,0.17263,0.75976,0.000317,0.000317,0.000317
19,370.529,0.13534,0.07307,0.25982,0.16103,0.80878,0.99937,1,0.995,0.995,0.99937,1,0.995,0.995,0.30308,0.0993,0.15075,0.1763,0.75323,0.000218,0.000218,0.000218
20,390.357,0.12379,0.07961,0.26799,0.15379,0.82198,0.99938,1,0.995,0.98254,0.99938,1,0.995,0.995,0.32546,0.10024,0.14911,0.19143,0.76647,0.000119,0.000119,0.000119
